MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
211331640,31/12/2020 01:25,36.39094,-122.71335,19.7,145.5,147,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 16:15,33.95038,-119.08169,11.4,119,119,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 18:03,33.78012,-118.72088,11.6,120,121,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 00:39,36.59348,-122.86674,16.4,147.6,149,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 17:02,33.87608,-118.92557,11.6,119.9,119,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 06:57,35.08323,-121.50146,16.5,142.6,142,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 22:15,33.70458,-118.15642,0.5,147.6,249,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 15:24,34.02757,-119.24727,11.4,119,119,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 09:18,34.57477,-121.02566,16,139.5,141,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 02:56,35.98972,-122.34501,19.6,142.5,142,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 06:10,35.24936,-121.65661,16.3,143.4,141,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 00:14,36.66096,-122.92265,17.5,149,149,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
211331640,31/12/2020 19:10,33.67315,-118.49551,11.5,119.5,120,SEOUL EXPRESS,IMO9193305,DHBN,70,294,32,13.6,79,B
